PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.388p	388P/2007 T4 (Gibbs 7)	388P/2019 R2	Comet	
coma.389p	389P/2006 R1 (Siding Spring 4)	389P/2019 S1	Comet	
coma.390p	390P/2006 W1 (Gibbs 2)	390P/2019 U1	Comet	
coma.391p	391P/2006 F1 (Kowalski 2)	391P/2019 U2	Comet	
coma.392p	392P/2004 WR9 (LINEAR 45)	392P/2019 U3	Comet	
coma.393p	393P/2009 SK280 (Spacewatch-Hill 1)	393P/2019 S5	Comet	
coma.394p	394P/2020 F4 (PanSTARRS 102)	394P/2011 GN5	Comet	
coma.395p	395P/2005 JD108 (Catalina-NEAT 1)	395P/2020 H1	Comet	
coma.396p	396P/2020 F1 (Leonard 5)	396P/2002 E4	Comet	
coma.397p	397P/2012 SB6 (Lemmon 6)	397P/2020 M2	Comet	
coma.398p	398P/2009 Q4 (Boattini 5)	398P/2020 P2	Comet	
coma.399p	399P/2013 O2 (PanSTARRS 20)	399P/2020 O4	Comet	
coma.400p	400P/2020 R1 (PanSTARRS 107)	400P/2013 PA104	Comet	
coma.401p	401P/2006 H1 (McNaught 8)	401P/2020 R3	Comet	
coma.402p	402P/2002 T5 (LINEAR 27)	402P/2020 Q3	Comet	
coma.403p	403P/2007 VQ11 (Catalina 8)	403P/2020 T1	Comet	
coma.404p	404P/2011 U2 (Bressi 1)	404P/2020 M6	Comet	
coma.405p	405P/2013 TL117 (Lemmon 7)	405P/2020 U1	Comet	
coma.406p	406P/2007 R2 (Gibbs 5)	406P/2020 R8	Comet	
coma.407p	407P/2013 J4 (PanSTARRS-Fuls 1)	407P/2019 Y2	Comet	
coma.408p	408P/2011 R3 (Novichonok-Gerke 1)	408P/2020 M7	Comet	
coma.409p	409P/2005 XA54 (LONEOS-Hill 1)	409P/2020 V1	Comet	
coma.410p	410P/2005 CR16 (NEAT-LINEAR 2)	410P/2020 W2, 410P/2003 WR168	Comet	
coma.411p	411P/2007 B1 (Christensen 14)	411P/2020 W3	Comet	
coma.412p	412P/2010 B2 (WISE 1)	412P/2020 Y1	Comet	
coma.413p	413P/2014 E1 (Larson 5)	413P/2020 W4	Comet	
coma.414p	414P/2016 J3 (STEREO 1)	414P/2021 A3	Comet	
coma.415p	415P/2013 EW90 (Tenagra 3)	415P/2020 Y4	Comet	
coma.416p	416P/2013 A2 (Scotti 9)	416P/2021 A8	Comet	
coma.417p	417P/2015 J3 (NEOWISE 2)	417P/2021 B1	Comet	
coma.418p	418P/2010 A5 (LINEAR 59)	418P/2020 Y5	Comet	
coma.419p	419P/2015 F1 (PanSTARRS 41)	419P/2021 A11	Comet	
coma.420p	420P/2009 Q1 (Hill 9)	420P/2021 E1	Comet	
coma.421p	421P/2009 U4 (McNaught 17)	421P/2020 H10	Comet	
coma.p-1996_r2	P/1996 R2 (Lagerkvist 1)		Comet	
coma.p-1997_b1	P/1997 B1 (Kobayashi 1)		Comet	
coma.p-1998_vs24	P/1998 VS24 (LINEAR 2)		Comet	
coma.p-1999_j6	P/1999 J6 (SOHO 5)	P/2010 H3, P/2004 V9	Comet	
coma.p-1999_ro28	P/1999 RO28 (LONEOS 1)		Comet	
coma.p-1999_xn120	P/1999 XN120 (Catalina 2)		Comet	
coma.p-2000_r2	P/2000 R2 (LINEAR 15)		Comet	
coma.p-2001_h5	P/2001 H5 (NEAT 2)		Comet	
coma.p-2001_q6	P/2001 Q6 (NEAT 6)		Comet	
coma.p-2002_ej57	P/2002 EJ57 (LINEAR 24)		Comet	
coma.p-2002_t6	P/2002 T6 (NEAT-LINEAR 1)		Comet	
coma.p-2003_f2	P/2003 F2 (NEAT 14)		Comet	
coma.p-2003_qx29	P/2003 QX29 (NEAT 15)		Comet	
coma.p-2003_t12	P/2003 T12 (SOHO 7)	P/2012 A3	Comet	
coma.p-2004_a1	P/2004 A1 (LONEOS 8)		Comet	
coma.p-2004_do29	P/2004 DO29 (Spacewatch-LINEAR 1)		Comet	
coma.p-2004_fy140	P/2004 FY140 (LINEAR 48)		Comet	
coma.p-2004_r3	P/2004 R3 (LINEAR-NEAT 6)		Comet	
coma.p-2004_v3	P/2004 V3 (Siding Spring 1)		Comet	
coma.p-2004_v5	P/2004 V5 (LINEAR-Hill 1)		Comet	
coma.p-2004_v5--a	P/2004 V5-A (LINEAR-Hill 1-A)	P/2003 YM159	Comet	
coma.p-2004_v5--b	P/2004 V5-B (LINEAR-Hill 1-B)	P/2004 V5-B	Comet	
coma.p-2005_e1	P/2005 E1 (Tubbiolo 1)		Comet	
coma.p-2005_j1	P/2005 J1 (McNaught 3)		Comet	
coma.p-2005_l1	P/2005 L1 (McNaught 5)		Comet	
coma.p-2005_s2	P/2005 S2 (Skiff 4)		Comet	
coma.p-2005_sb216	P/2005 SB216 (LONEOS 11)		Comet	
coma.p-2005_t2	P/2005 T2 (Christensen 6)		Comet	
coma.p-2005_t3	P/2005 T3 (Read 2)		Comet	
coma.p-2005_t4	P/2005 T4 (SWAN 1)		Comet	
coma.p-2005_t5	P/2005 T5 (Broughton 1)		Comet	
coma.p-2005_w3	P/2005 W3 (Kowalski 1)		Comet	
coma.p-2006_hr30	P/2006 HR30 (Siding Spring 3)		Comet	
coma.p-2006_s4	P/2006 S4 (Christensen 11)		Comet	
coma.p-2006_wy182	P/2006 WY182 (Christensen 13)	P/2007 A2	Comet	
coma.p-2007_c2	P/2007 C2 (Catalina 6)		Comet	
coma.p-2007_k2	P/2007 K2 (Gibbs 4)		Comet	
coma.p-2007_q2	P/2007 Q2 (Gilmore 1)		Comet	
coma.p-2007_r4	P/2007 R4 (Garradd 3)		Comet	
coma.p-2007_s1	P/2007 S1 (Zhao 1)		Comet	
coma.p-2007_t2	P/2007 T2 (Kowalski 3)		Comet	
coma.p-2008_cl94	P/2008 CL94 (Lemmon 2)	P/2021 A12	Comet	
coma.p-2008_l2	P/2008 L2 (Hill 5)		Comet	
coma.p-2008_o3	P/2008 O3 (Boattini 1)		Comet	
coma.p-2008_qp20	P/2008 QP20 (LINEAR-Hill 2)		Comet	
coma.p-2008_wz96	P/2008 WZ96 (LINEAR 56)		Comet	
coma.p-2008_y3	P/2008 Y3 (McNaught 14)		Comet	
coma.p-2008_y12	P/2008 Y12 (SOHO)	P/2014 K3	Comet	
coma.p-2009_b1	P/2009 B1 (Boattini 4)		Comet	
coma.p-2009_o3	P/2009 O3 (Hill 8)		Comet	
coma.p-2009_q5	P/2009 Q5 (McNaught 15)		Comet	
coma.p-2009_t2	P/2009 T2 (La Sagra 2)		Comet	
coma.p-2009_wx51	P/2009 WX51 (Catalina 10)		Comet	
coma.p-2009_y2	P/2009 Y2 (Kowalski 4)		Comet	
coma.p-2010_a3	P/2010 A3 (Hill 12)		Comet	
coma.p-2010_c1	P/2010 C1 (Scotti 4)		Comet	
coma.p-2010_d2	P/2010 D2 (WISE 3)		Comet	
coma.p-2010_e2	P/2010 E2 (Jarnac 1)		Comet	
coma.p-2010_h2	P/2010 H2 (Vales 1)		Comet	
coma.p-2010_h4	P/2010 H4 (Scotti 7)		Comet	
coma.p-2010_h5	P/2010 H5 (Scotti 6)		Comet	
coma.p-2010_j3	P/2010 J3 (McMillan 2)	P/2010 CG6	Comet	
coma.p-2010_jc81	P/2010 JC81 (WISE 9)		Comet	
coma.p-2010_t2	P/2010 T2 (PanSTARRS 1)		Comet	
coma.p-2010_to20	P/2010 TO20 (LINEAR-Grauer 1)		Comet	
coma.p-2010_u1	P/2010 U1 (Boattini 6)		Comet	
coma.p-2010_uh55	P/2010 UH55 (Spacewatch 5)		Comet	
coma.p-2010_wk	P/2010 WK (LINEAR 64)		Comet	
coma.p-2011_a2	P/2011 A2 (Scotti 8)		Comet	
coma.p-2011_c2	P/2011 C2 (Gibbs 12)		Comet	
coma.p-2011_fr143	P/2011 FR143 (Lemmon 4)		Comet	
coma.p-2011_jb15	P/2011 JB15 (Spacewatch-Boattini 1)		Comet	
coma.p-2011_n1	P/2011 N1 (ASH 1)		Comet	
coma.p-2011_no1	P/2011 NO1 (Elenin 1)		Comet	
coma.p-2011_p1	P/2011 P1 (McNaught 21)		Comet	
coma.p-2011_q3	P/2011 Q3 (McNaught 22)		Comet	
coma.p-2011_s1	P/2011 S1 (Gibbs 13)		Comet	
coma.p-2011_ua134	P/2011 UA134 (Spacewatch-PanSTARRS 1)		Comet	
coma.p-2011_v1	P/2011 V1 (Boattini 7)		Comet	
coma.p-2011_w1	P/2011 W1 (PanSTARRS 5)		Comet	
coma.p-2011_y2	P/2011 Y2 (Boattini 8)		Comet	
coma.p-2012_b1	P/2012 B1 (PanSTARRS 6)		Comet	
coma.p-2012_f2	P/2012 F2 (PanSTARRS 8)		Comet	
coma.p-2012_g1	P/2012 G1 (PanSTARRS 9)		Comet	
coma.p-2012_k3	P/2012 K3 (Gibbs 15)		Comet	
coma.p-2012_nj	P/2012 NJ (La Sagra 5)		Comet	
coma.p-2012_o1	P/2012 O1 (McNaught 24)		Comet	
coma.p-2012_o2	P/2012 O2 (McNaught 25)		Comet	
coma.p-2012_o3	P/2012 O3 (McNaught 26)		Comet	
coma.p-2012_s2	P/2012 S2 (La Sagra 6)	P/2021 L5	Comet	
coma.p-2012_t2	P/2012 T2 (PanSTARRS 12)		Comet	
coma.p-2012_t3	P/2012 T3 (PanSTARRS 13)		Comet	
coma.p-2012_tk8	P/2012 TK8 (Tenagra 1)		Comet	
coma.p-2012_u2	P/2012 U2 (PanSTARRS 14)		Comet	
coma.p-2012_us27	P/2012 US27 (Siding Spring 5)		Comet	
coma.p-2012_wa34	P/2012 WA34 (Lemmon-PanSTARRS 1)		Comet	
coma.p-2013_al76	P/2013 AL76 (Catalina 11)		Comet	
coma.p-2013_g1	P/2013 G1 (Kowalski 8)		Comet	
coma.p-2013_g4	P/2013 G4 (PanSTARRS 16)		Comet	
coma.p-2013_j2	P/2013 J2 (McNaught 28)		Comet	
coma.p-2013_n3	P/2013 N3 (PanSTARRS 19)		Comet	
coma.p-2013_n5	P/2013 N5 (PanSTARRS 21)		Comet	
coma.p-2013_p1	P/2013 P1 (PanSTARRS 22)		Comet	
coma.p-2013_r3	P/2013 R3 (Catalina-PanSTARRS 1)		Comet	
coma.p-2013_r3--a	P/2013 R3-A (Catalina-PanSTARRS 1-A)		Comet	
coma.p-2013_r3--b	P/2013 R3-B (Catalina-PanSTARRS 1-B)		Comet	
coma.p-2013_t1	P/2013 T1 (PanSTARRS 25)		Comet	
coma.p-2013_t2	P/2013 T2 (Schwartz 1)		Comet	
coma.p-2013_w1	P/2013 W1 (PanSTARRS 26)		Comet	
coma.p-2013_yg46	P/2013 YG46 (Spacewatch 7)		Comet	
coma.p-2014_a2	P/2014 A2 (Hill 14)		Comet	
coma.p-2014_a3	P/2014 A3 (PanSTARRS 28)		Comet	
coma.p-2014_c1	P/2014 C1 (TOTAS 1)		Comet	
coma.p-2014_j1	P/2014 J1 (Catalina 14)	C/2014 J1	Comet	
coma.p-2014_l2	P/2014 L2 (NEOWISE 1)		Comet	
coma.p-2014_l3	P/2014 L3 (Hill 15)		Comet	
coma.p-2014_m4	P/2014 M4 (PanSTARRS 30)		Comet	
coma.p-2014_mg4	P/2014 MG4 (Spacewatch-PanSTARRS 2)		Comet	
coma.p-2014_o3	P/2014 O3 (PanSTARRS 29)		Comet	
coma.p-2014_r5	P/2014 R5 (Lemmon-PanSTARRS 3)		Comet	
coma.p-2014_u4	P/2014 U4 (PanSTARRS 31)		Comet	
coma.p-2014_v1	P/2014 V1 (PanSTARRS 32)		Comet	
coma.p-2014_w1	P/2014 W1 (PanSTARRS 35)		Comet	
coma.p-2014_w4	P/2014 W4 (PanSTARRS 33)		Comet	
coma.p-2014_w12	P/2014 W12 (Gibbs 17)		Comet	
coma.p-2014_x1	P/2014 X1 (Elenin 2)		Comet	
coma.p-2015_a3	P/2015 A3 (PanSTARRS 37)		Comet	
coma.p-2015_b1	P/2015 B1 (PanSTARRS 39)	C/2015 B1	Comet	
coma.p-2015_c1	P/2015 C1 (TOTAS-Gibbs 1)		Comet	
coma.p-2015_d5	P/2015 D5 (Kowalski 10)		Comet	
coma.p-2015_d6	P/2015 D6 (Lemmon-PanSTARRS 4)		Comet	
coma.c-1978_r3	C/1978 R3 (Machholz)		Comet	
coma.c-1979_m3	C/1979 M3 (Torres)		Comet	
coma.c-1980_e1	C/1980 E1 (Bowell)		Comet	
coma.c-1980_l1	C/1980 L1 (Torres)		Comet	
coma.c-1981_g1	C/1981 G1 (Elias)		Comet	
coma.c-1983_o1	C/1983 O1 (Cernis)	1983l, 1983 XII	Comet	
coma.c-1983_o2	C/1983 O2 (IRAS)		Comet	
coma.c-1983_r1	C/1983 R1 (Shoemaker)	1983 XV, 1983p	Comet	
coma.c-1984_k1	C/1984 K1 (Shoemaker)	1984f, 84f, 1985 XII	Comet	
coma.c-1984_u1	C/1984 U1 (Shoemaker)	1984 XV, 1984r, 84r	Comet	
coma.c-1984_u2	C/1984 U2 (Shoemaker)		Comet	
coma.c-1984_w2	C/1984 W2 (Hartley)	1984v	Comet	
coma.c-1985_k1	C/1985 K1 (Machholz)		Comet	
coma.c-1985_t1	C/1985 T1 (Thiele)		Comet	
coma.c-1986_e1	C/1986 E1 (Shoemaker)		Comet	
coma.c-1986_n1	C/1986 N1 (Churyumov-Solodovnikov)	Churyumov-Solodovnikoff, 1986i, 1986 IX	Comet	
coma.c-1986_p1	C/1986 P1 (Wilson)		Comet	
coma.c-1986_p1--a	C/1986 P1-A (Wilson)		Comet	
coma.c-1986_p1--b	C/1986 P1-B (Wilson)		Comet	
coma.c-1987_a1	C/1987 A1 (Levy)		Comet	
coma.c-1987_b1	C/1987 B1 (Nishikawa-Takamizawa-Tago)		Comet	
coma.c-1987_f1	C/1987 F1 (Torres)		Comet	
coma.c-1987_h1	C/1987 H1 (Shoemaker)	1986 XIV, 1987o, 87o	Comet	
coma.c-1987_p1	C/1987 P1 (Bradfield)		Comet	
coma.c-1987_w1	C/1987 W1 (Ichimura)		Comet	
coma.c-1987_w3	C/1987 W3 (Jensen-Shoemaker)	1987g1	Comet	
coma.c-1988_b1	C/1988 B1 (Shoemaker)	1988b, 1987 IV	Comet	
coma.c-1988_j1	C/1988 J1 (Shoemaker-Holt)		Comet	
coma.c-1988_p1	C/1988 P1 (Machholz)		Comet	
coma.c-1988_y1	C/1988 Y1 (Yanaka)	1988 XXIV, 1988r	Comet	JPL does not list these alternate names; found in IAUC 8842 [https://ui.adsabs.harvard.edu/abs/2007IAUC.8842....1S]
coma.c-1989_a1	C/1989 A1 (Yanaka)		Comet	
coma.c-1989_a5	C/1989 A5 (Shoemaker)		Comet	
coma.c-1989_a6	C/1989 A6 (Shoemaker)	1988 XXI, 1989f	Comet	
coma.c-1989_q1	C/1989 Q1 (Okazaki-Levy-Rudenko)	1989 XIX	Comet	
coma.c-1989_x1	C/1989 X1 (Austin)	1989c1, 1990 V	Comet	
coma.c-1989_y1	C/1989 Y1 (Skorichenko-George)		Comet	
coma.c-1990_k1	C/1990 K1 (Levy)	1990 XX, 1990c	Comet	
coma.c-1991_c3	C/1991 C3 (McNaught-Russell)		Comet	
coma.c-1991_f2	C/1991 F2 (Helin-Lawrence)	1991l	Comet	
coma.c-1991_l4	C/1991 L4 (Helin-Alu)		Comet	
coma.c-1991_q1	C/1991 Q1 (McNaught-Russell)		Comet	
coma.c-1991_r1	C/1991 R1 (McNaught-Russell)		Comet	
coma.c-1991_x2	C/1991 X2 (Mueller)		Comet	
coma.c-1992_a1	C/1992 A1 (Helin-Alu)		Comet	
coma.c-1992_q2	C/1992 Q2 (Helin-Lawrence)		Comet	
coma.c-1992_n1	C/1992 N1 (Machholz)		Comet	
coma.c-1992_u1	C/1992 U1 (Shoemaker)		Comet	
coma.c-1993_a1	C/1993 A1 (Mueller)		Comet	
coma.c-1993_f1	C/1993 F1 (Mueller)		Comet	
coma.c-1993_q1	C/1993 Q1 (Mueller)		Comet	
coma.c-1993_y1	C/1993 Y1 (McNaught-Russell)	1994 XI, 1993v	Comet	
coma.c-1994_e1	C/1994 E1 (Mueller)		Comet	
coma.c-1994_t1	C/1994 T1 (Machholz)		Comet	
coma.c-1995_o1	C/1995 O1 (Hale-Bopp)	hip hop, HB	Comet	
coma.c-1996_b2	C/1996 B2 (Hyakutake)		Comet	
coma.c-1997_ba6	C/1997 BA6 (Spacewatch)		Comet	
coma.c-1997_d1	C/1997 D1 (Mueller)		Comet	
coma.c-1997_j1	C/1997 J1 (Mueller)		Comet	
coma.c-1997_t1	C/1997 T1 (Utsunomiya)		Comet	
coma.c-1998_h1	C/1998 H1 (Stonehouse)		Comet	
coma.c-1998_k1	C/1998 K1 (Mueller)		Comet	
coma.c-1998_m3	C/1998 M3 (Larsen)		Comet	
coma.c-1999_f2	C/1999 F2 (Dalcanton)		Comet	
coma.c-1999_j2	C/1999 J2 (Skiff)		Comet	
coma.c-1999_k3	C/1999 K3 (LINEAR)		Comet	
coma.c-1999_s4	C/1999 S4 (LINEAR)		Comet	
coma.c-1999_t1	C/1999 T1 (McNaught-Hartley)		Comet	
coma.c-1999_t2	C/1999 T2 (LINEAR)		Comet	
coma.c-1999_u4	C/1999 U4 (Catalina-Skiff)		Comet	
coma.c-1999_y1	C/1999 Y1 (LINEAR)		Comet	
coma.c-2000_a2	C/2000 A2 (SOHO)		Comet	
coma.c-2000_g2	C/2000 G2 (LINEAR)		Comet	
coma.c-2000_j1	C/2000 J1 (Ferris)		Comet	
coma.c-2000_j2	C/2000 J2 (SOHO)		Comet	
coma.c-2000_j3	C/2000 J3 (SOHO)		Comet	
coma.c-2000_j4	C/2000 J4 (SOHO)		Comet	
coma.c-2000_k1	C/2000 K1 (LINEAR)		Comet	
coma.c-2000_k2	C/2000 K2 (LINEAR)		Comet	
coma.c-2000_of8	C/2000 OF8 (Spacewatch)		Comet	
coma.c-2000_u5	C/2000 U5 (LINEAR)		Comet	
coma.c-2000_w1	C/2000 W1 (Utsunomiya-Jones)		Comet	
coma.c-2000_wm1	C/2000 WM1 (LINEAR)		Comet	
coma.c-2001_a1	C/2001 A1 (LINEAR)		Comet	
coma.c-2001_a2--a	C/2001 A2-A (LINEAR)		Comet	
coma.c-2001_a2--b	C/2001 A2-B (LINEAR)		Comet	
coma.c-2001_b1	C/2001 B1 (LINEAR)		Comet	
coma.c-2001_b2	C/2001 B2 (NEAT)		Comet	
coma.c-2001_c1	C/2001 C1 (LINEAR)		Comet	
coma.c-2001_g1	C/2001 G1 (LONEOS)		Comet	
coma.c-2001_k5	C/2001 K5 (LINEAR)		Comet	
coma.c-2001_og108	C/2001 OG108 (LONEOS)		Comet	
coma.c-2001_q1	C/2001 Q1 (NEAT)		Comet	
coma.c-2001_q4	C/2001 Q4 (NEAT)		Comet	
coma.c-2002_ce10	C/2002 CE10 (LINEAR)		Comet	
coma.c-2002_e2	C/2002 E2 (Snyder-Murakami)		Comet	
coma.c-2002_f1	C/2002 F1 (Utsunomiya)		Comet	
coma.c-2002_t7	C/2002 T7 (LINEAR)		Comet	
coma.c-2002_v2	C/2002 V2 (LINEAR)		Comet	
coma.c-2002_vq94	C/2002 VQ94 (LINEAR)	C/2011 H1	Comet	
coma.c-2003_a2	C/2003 A2 (Gleason)		Comet	
coma.c-2003_a3	C/2003 A3 (SOHO)		Comet	
coma.c-2003_k4	C/2003 K4 (LINEAR)		Comet	
coma.c-2003_o1	C/2003 O1 (LINEAR)		Comet	
coma.c-2003_s3	C/2003 S3 (LINEAR)		Comet	
coma.c-2003_wt42	C/2003 WT42 (LINEAR)		Comet	
coma.c-2004_dz61	C/2004 DZ61 (Catalina-LINEAR)		Comet	
coma.c-2004_f4	C/2004 F4 (Bradfield)		Comet	
coma.c-2004_h6	C/2004 H6 (SWAN)		Comet	
coma.c-2004_hv60	C/2004 HV60 (Spacewatch)		Comet	
coma.c-2004_l1	C/2004 L1 (LINEAR)		Comet	
coma.c-2004_l2	C/2004 L2 (LINEAR)		Comet	
coma.c-2004_q1	C/2004 Q1 (Tucker)		Comet	
coma.c-2004_q2	C/2004 Q2 (Machholz)		Comet	
coma.c-2004_r2	C/2004 R2 (ASAS)		Comet	
coma.c-2005_a1--a	C/2005 A1-A (LINEAR)		Comet	
coma.c-2005_l3	C/2005 L3 (McNaught)		Comet	
coma.c-2005_w2	C/2005 W2 (Christensen)		Comet	
coma.c-2006_k4	C/2006 K4 (NEAT)		Comet	
coma.c-2006_of2	C/2006 OF2 (Broughton)		Comet	
coma.c-2006_q1	C/2006 Q1 (McNaught)		Comet	
coma.c-2006_s3	C/2006 S3 (LONEOS)		Comet	
coma.c-2006_s5	C/2006 S5 (Hill)		Comet	
coma.c-2006_u6	C/2006 U6 (Spacewatch)		Comet	
coma.c-2006_v1	C/2006 V1 (Catalina)		Comet	
coma.c-2006_w3	C/2006 W3 (Christensen)		Comet	
coma.c-2006_wd4	C/2006 WD4 (Lemmon)		Comet	
coma.c-2007_b2	C/2007 B2 (Skiff)		Comet	
coma.c-2007_d1	C/2007 D1 (LINEAR)		Comet	
coma.c-2007_g1	C/2007 G1 (LINEAR)		Comet	
coma.c-2007_k3	C/2007 K3 (Siding Spring)		Comet	
coma.c-2007_m1	C/2007 M1 (McNaught)		Comet	
coma.c-2007_m2	C/2007 M2 (Catalina)		Comet	
coma.c-2007_n3	C/2007 N3 (Lulin)		Comet	
coma.c-2007_q3	C/2007 Q3 (Siding Spring)		Comet	
coma.c-2007_s2	C/2007 S2 (Lemmon 1)		Comet	
coma.c-2007_t1	C/2007 T1 (McNaught)		Comet	
coma.c-2007_t5	C/2007 T5 (Gibbs)		Comet	
coma.c-2007_u1	C/2007 U1 (LINEAR)		Comet	
coma.c-2007_vo53	C/2007 VO53 (Spacewatch)		Comet	
coma.c-2007_w1	C/2007 W1 (Boattini)		Comet	
coma.c-2007_w3	C/2007 W3 (LINEAR)		Comet	
coma.c-2007_y1	C/2007 Y1 (LINEAR)		Comet	
coma.c-2007_y2	C/2007 Y2 (McNaught)		Comet	
coma.c-2008_a1	C/2008 A1 (McNaught)		Comet	
coma.c-2008_c1	C/2008 C1 (Chen-Gao)		Comet	
coma.c-2008_e1	C/2008 E1 (Catalina 9)		Comet	
coma.c-2008_e3	C/2008 E3 (Garradd)		Comet	
coma.c-2008_fk75	C/2008 FK75 (Lemmon-Siding Spring)		Comet	
coma.c-2008_g1	C/2008 G1 (Gibbs)		Comet	
coma.c-2008_h1	C/2008 H1 (LINEAR)		Comet	
coma.c-2008_j1	C/2008 J1 (Boattini)		Comet	
coma.c-2008_j5	C/2008 J5 (Garradd)		Comet	
coma.c-2008_j6	C/2008 J6 (Hill)		Comet	
coma.c-2008_n1	C/2008 N1 (Holmes)		Comet	
coma.c-2008_p1	C/2008 P1 (Garradd)		Comet	
coma.c-2008_q1	C/2008 Q1 (Maticic)		Comet	
coma.c-2008_q3	C/2008 Q3 (Garradd)		Comet	
coma.c-2008_r3	C/2008 R3 (LINEAR 55)		Comet	
coma.c-2008_s3	C/2008 S3 (Boattini)		Comet	
coma.c-2008_t2	C/2008 T2 (Cardinal)		Comet	
coma.c-2008_x3	C/2008 X3 (LINEAR)		Comet	
coma.c-2009_b2	C/2009 B2 (LINEAR)		Comet	
coma.c-2009_e1	C/2009 E1 (Itagaki)		Comet	
coma.c-2009_f1	C/2009 F1 (Larson)		Comet	
coma.c-2009_f2	C/2009 F2 (McNaught)		Comet	
coma.c-2009_f4	C/2009 F4 (McNaught)		Comet	
coma.c-2009_f5	C/2009 F5 (McNaught)		Comet	
coma.c-2009_f6	C/2009 F6 (Yi-SWAN)		Comet	
coma.c-2009_g1	C/2009 G1 (STEREO)		Comet	
coma.c-2009_k2	C/2009 K2 (Catalina)		Comet	
coma.c-2009_k3	C/2009 K3 (Beshore)		Comet	
coma.c-2009_k4	C/2009 K4 (Gibbs)		Comet	
coma.c-2009_k5	C/2009 K5 (McNaught)		Comet	
coma.c-2009_o2	C/2009 O2 (Catalina)		Comet	
coma.c-2009_o4	C/2009 O4 (Hill)		Comet	
coma.c-2009_p1	C/2009 P1 (Garradd)		Comet	
coma.c-2009_p2	C/2009 P2 (Boattini)	C/2008 TQ137, C/2008 VP28	Comet	
coma.c-2009_r1	C/2009 R1 (McNaught)		Comet	
coma.c-2009_s3	C/2009 S3 (Lemmon)		Comet	
coma.c-2009_t1	C/2009 T1 (McNaught)		Comet	
coma.c-2009_t3	C/2009 T3 (LINEAR)		Comet	
coma.c-2009_u3	C/2009 U3 (Hill)		Comet	
coma.c-2009_u5	C/2009 U5 (Grauer)		Comet	
coma.c-2009_ug89	C/2009 UG89 (Lemmon)		Comet	
coma.c-2009_w2	C/2009 W2 (Boattini)		Comet	
coma.c-2009_y1	C/2009 Y1 (Catalina)		Comet	
coma.c-2010_a4	C/2010 A4 (Siding Spring)		Comet	
coma.c-2010_b1	C/2010 B1 (Cardinal)		Comet	
coma.c-2010_d3	C/2010 D3 (WISE)		Comet	
coma.c-2010_d4	C/2010 D4 (WISE)		Comet	
coma.c-2010_dg56	C/2010 DG56 (WISE)		Comet	
coma.c-2010_e1	C/2010 E1 (Garradd)		Comet	
coma.c-2010_e5	C/2010 E5 (Scotti 5)		Comet	
coma.c-2010_f1	C/2010 F1 (Boattini)		Comet	
coma.c-2010_f3	C/2010 F3 (Scotti)		Comet	
coma.c-2010_f4	C/2010 F4 (Machholz)		Comet	
coma.c-2010_fb87	C/2010 FB87 (WISE-Garradd)		Comet	
coma.c-2010_g1	C/2010 G1 (Boattini)		Comet	
coma.c-2010_g2	C/2010 G2 (Hill)		Comet	
coma.c-2010_g3	C/2010 G3 (WISE)		Comet	
coma.c-2010_h1	C/2010 H1 (Garradd)		Comet	
coma.c-2010_j1	C/2010 J1 (Boattini)		Comet	
coma.c-2010_j2	C/2010 J2 (McNaught)		Comet	
coma.c-2010_j4	C/2010 J4 (WISE)		Comet	
coma.c-2010_kw7	C/2010 KW7 (WISE)		Comet	
coma.c-2010_l3	C/2010 L3 (Catalina)		Comet	
coma.c-2010_l4	C/2010 L4 (WISE)		Comet	
coma.c-2010_l5	C/2010 L5 (WISE)		Comet	
coma.c-2010_m1	C/2010 M1 (Gibbs)		Comet	
coma.c-2010_r1	C/2010 R1 (LINEAR)		Comet	
coma.c-2010_s1	C/2010 S1 (LINEAR)		Comet	
coma.c-2010_u3	C/2010 U3 (Boattini)		Comet	
coma.c-2010_x1	C/2010 X1 (Elenin)		Comet	
coma.c-2011_a3	C/2011 A3 (Gibbs)		Comet	
coma.c-2011_c1	C/2011 C1 (McNaught)		Comet	
coma.c-2011_c3	C/2011 C3 (Gibbs)		Comet	
coma.c-2011_f1	C/2011 F1 (LINEAR)		Comet	
coma.c-2011_g1	C/2011 G1 (McNaught)		Comet	
coma.c-2011_j2	C/2011 J2 (LINEAR)		Comet	
coma.c-2011_j2--b	C/2011 J2-B (LINEAR-B)		Comet	
coma.c-2011_j2--c	C/2011 J2-C (LINEAR-C)		Comet	
coma.c-2011_j3	C/2011 J3 (LINEAR 65)		Comet	
coma.c-2011_k1	C/2011 K1 (Schwartz-Holvorcem)		Comet	
coma.c-2011_kp36	C/2011 KP36 (Spacewatch)		Comet	
coma.c-2011_l1	C/2011 L1 (McNaught 20)		Comet	
coma.c-2011_l2	C/2011 L2 (McNaught)		Comet	
coma.c-2011_l3	C/2011 L3 (McNaught)		Comet	
coma.c-2011_l4	C/2011 L4 (PanSTARRS)		Comet	
coma.c-2011_l6	C/2011 L6 (Boattini)		Comet	
coma.c-2011_m1	C/2011 M1 (LINEAR)		Comet	
coma.c-2011_n2	C/2011 N2 (McNaught)		Comet	
coma.c-2011_o1	C/2011 O1 (LINEAR)		Comet	
coma.c-2011_p2	C/2011 P2 (PanSTARRS)		Comet	
