PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.30p	30P/1928 D1 (Reinmuth 1)	1994p, 1988 VI, 1987r, 1980 VIII, 1979j, 1973 IV, 1972i, 1965 V, 1965a, 1958 II, 1957e, 1950 IV, 1949f, 30P/1934 V1, 1935 II, 1934b, 1928 I, 1928a	Comet	
coma.31p	31P/1929 B1 (Schwassmann-Wachmann 2)	1994 II, 1981 VI, 1986h, 1974 XIII, 1979k, 1968 II, 1967i, 1955 I, 1960j, 1948 VII, 1947l, 1942 I, 1941f, 1929 I, 1929a	Comet	
coma.32p	32P/1926 V1 (Comas Sola 1)	1987 XVIII, 1986j, 1978 XVII, 1977n, 1969 VIII, 1968g, 1961 III, 1960f, 1944 II, 1951h, 32P/1935 P1, 1935 IV, 1935c, 1927 III, 1926f	Comet	
coma.33p	33P/1909 X1 (Daniel 1)	1992 XXIII, 1992o, 1985 XI, 1985j, 1978 XII, 1979b, 1964 II, 1964a, 1950 V, 1950d, 1943 IV, 33P/1937 B1, 1937 I, 1937a, 1909 IV, 1909e	Comet	
coma.34d	34D/1927 L1 (Gale 1)	34D/1938 J1, 1938, 1938a, 1927 VI, 1927f	Comet	
coma.35p	35P/1939 O1 (Herschel-Rigollet 1)	1939 VI, 1939h, 35P/1788 Y1, 1788 II	Comet	
coma.36p	36P/1933 U1 (Whipple 1)	1994 XXXII, 1993n, 1986 XII, 1985h, 1978 VIII, 1977h, 1970 XIV, 1969c, 1963 II, 1962f, 1955 VIII, 1955d, 36P/1940 R1, 1948 VI, 1947g, 1933 IV, 1933f, 36P/1925 QD, 1926 VIII	Comet	
coma.37p	37P/1929 P1 (Forbes 1)	1993 IV, 1993f, 1987 I, 1986g, 1980 VI, 1980a, 1974 IX, 1974a, 1961 VI, 1961a, 1948 VIII, 1948e, 37P/1942 L1, 1942 III, 1929 II, 1929c	Comet	
coma.38p	38P/1942 V1 (Stephan-Oterma 1)	38P/1980 L2, 1980 X, 1980g, 1942 IX, 38P/1867 B1, 1867 I	Comet	
coma.39p	39P/1943 G1 (Oterma 1)	39P/2001 P3, 1958 IV, 1950 III	Comet	
coma.40p	40P/1939 CB (Vaisala 1)	1993 VIII, 1992u, 1982 V, 1981l, 1971 VII, 1970q, 1960 IV, 1959i, 40P/1949 Y1, 1949 V, 1949h, 1939 IV, 1939b	Comet	
coma.41p	41P/1951 H1 (Tuttle-Giacobini-Kresak 1)	TGK, 1990 II, 1989b1, 1978 XXV, 1978r, 1973 VI, 1973b, 1962 V, 1962b, 1951 IV, 1951f, 41P/1907 L1, 1907 III, 1907c, 41P/1858 J1, 1858 III	Comet	
coma.42p	42P/1929 P2 (Neujmin 3)	1993 XVI, 1993j, 1972 IV, 1972g, 42P/1951 J1, 1951 V, 1951g, 1929 III, 1929b	Comet	
coma.43p	43P/1924 Y1 (Wolf-Harrington 1)	1991 V, 1990e, 1984 XVII, 1984g, 1978 VI, 1977j, 1971 VI, 1965 III, 1970o, 1964g, 1958 V, 1957g, 43P/1951 T2, 1952 II, 1951k, 1924 IV, 1924d	Comet	
coma.44p	44P/1947 R1 (Reinmuth 2)	1994 XVIII, 1993g, 1987 XXVI, 1987l, 1981 III, 1980n, 1974 VI, 1973g, 1967 XI, 1967e, 1960 IX, 1960c, 44P/1953 N1, 1954 VI, 1953d, 1947 VII, 1947j	Comet	
coma.45p	45P/1948 X1 (Honda-Mrkos-Pajdusakova 1)	HMP, 1990 XIV, 1990f, 1985 III, 1985c, 1980 I, 1980c, 1974 XVI, 1974f, 1969 V, 1969e, 1964 VII, 1964d, 45P/1954 C1, 1954 III, 1954a, 1948 XII, 1948n	Comet	
coma.46p	46P/1948 A1 (Wirtanen 1)	1991 XVI, 1991s, 1986 VI, 1985q, 1974 XI, 1974i, 1967 XIV, 1967k, 1961 IV, 1960m, 46P/1954 R2, 1954 XI, 1954j, 1947 XIII, 1948b	Comet	
coma.47p	47P/1948 Q1 (Ashbrook-Jackson 1)	1993 XIII, 1992j, 1986 II, 1985a, 1978 XIV, 1977g, 1971 III, 1970e, 47P/1955 H1, 1956 II, 1962e, 1948 IX, 1948i	Comet	
coma.48p	48P/1949 Q1 (Johnson 1)	1990 XXIII, 1990h, 1983 XVIII, 1983h, 1977 I, 1976h, 1970 IV, 1970h, 1963 IV, 1963c, 48P/1956 P1, 1956 V, 1956f, 1949 II, 1949d	Comet	
coma.49p	49P/1951 C2 (Arend-Rigaux 1)	1991 XVII, 1984 XXI, 1984k, 1978 III, 1977k, 1971 IV, 1970j, 1964 V, 1963g, 49P/1958 B1, 1957 VII, 1958b, 1950 VII, 1951b	Comet	
coma.50p	50P/1951 T1 (Arend 1)	1991 VIII, 1991u, 1983 VIII, 1983q, 1975 VI, 1975m, 1967 VI, 1967l, 50P/1959 N1, 1959 V, 1959c, 1951 X, 1951j	Comet	
coma.51p	51P/1953 P1 (Harrington 1)	1994 XXII, 1994g, 1987 XXVIII, 1987n, 1980 XIV, 1980m, 51P/1960 P1, 1960 VII, 1960g, 1953 VI, 1953e	Comet	
coma.51p--a	51P/1953 P1-A (Harrington 1-A)		Comet	
coma.51p--d	51P/1953 P1-D (Harrington 1-D)		Comet	
coma.52p	52P/1955 F1 (Harrington-Abell 1)	1991 X, 1990m, 1983 XVII, 1983r, 1976 VIII, 1975l, 1969 III, 1968i, 52P/1962 B1, 1962 II, 1962a, 1954 XIII, 1955a	Comet	
coma.53p	53P/1954 R1 (Van Biesbroeck 1)	1991 VI, 1989h1, 1978 XXIV, 1977s, 53P/1965 J1, 1966 III, 1965d, 1954 IV, 1954i	Comet	
coma.54p	54P/1844 Q1 (de Vico-Swift-NEAT 1)	54P/2002 T4, 54P/1965 M1, 1965 VII, 1965e, 54P/1894 W1, 1894 IV, 1894e, 1844 I	Comet	
coma.55p	55P/1865 Y1 (Tempel-Tuttle)	55P/1997 E1, 55P/1965 M2, 1965 IV, 1965i, 1866 I, 55P/1699 U1, 1699 II, 55P/1366 U1	Comet	
coma.56p	56P/1959 B1 (Slaughter-Burnham 1)	1993 X, 1992w, 1981 XVIII, 1981i, 56P/1969 V1, 1970 V, 1969f, 1958 VI, 1959a	Comet	
coma.57p	57P/1941 O1 (duToit-Neujmin-Delporte 1)	1983 IX, 1983g, 1989 XIV, 1989l, 57P/1941 OE, 1941 VII, 1941e, 1941 VII, 1941e, 57P/1970 N2, 1970 XIII, 1970i, 57P/1983 RD6, 1983 IX, 1983g	Comet	
coma.57p--a	57P/1941 O1-A (duToit-Neujmin-Delporte 1-A)		Comet	
coma.58p	58P/1936 S1 (Jackson-Neujmin 1)	1987 VIII, 1987t, 1978 XXVI, 1978q, 58P/1970 R1, 1970 IX, 1970k, 1936 IV, 1936c	Comet	
coma.59p	59P/1963 Q1 (Kearns-Kwee 1)	1990 XXV, 1989u, 1981 XX, 1981h, 59P/1971 O1, 1972 XI, 1971c, 1963 VIII, 1963d	Comet	
coma.60p	60P/1965 A2 (Tsuchinshan 2)	1992 XII, 1991e1, 1985 X, 1985d, 1978 XVI, 1978p, 60P/1971 S1, 1971 X, 1971d, 1965 II, 1965c	Comet	
coma.61p	61P/1949 S1 (Shajn-Schaldach 1)	1993 XVII, 1993k, 1986 X, 1985i, 1979 I, 1978i, 61P/1971 S2, 1971 IX, 1971e, 1949 VI, 1949e	Comet	
coma.62p	62P/1965 A1 (Tsuchinshan 1)	1991 XIV, 1991c1, 1985 I, 1984p, 1978 IX, 1978e, 62P/1971 Y1, 1971 VIII, 1971f, 1965 I, 1965b	Comet	
coma.63p	63P/1960 G1 (Wild 1)	63P/1973 A2, 1973 VIII, 1973c, 1960 I, 1960b	Comet	
coma.64p	64P/1889 W1 (Swift-Gehrels 1)	1991 II, 1991c, 1981 XIX, 1981j, 64P/1973 C1, 1972 VII, 1973d, 1889 VI, 1889f	Comet	
coma.65p	65P/1970 U2 (Gunn 1)	1989 XI, 1976 III, 1969 II, 1970p, 65P/1954 P1, 1953 VIII	Comet	
coma.66p	66P/1944 K1 (du Toit 1)	66P/1974 F2, 1974 IV, 1944 III, 1944c	Comet	
coma.67p	67P/1969 R1 (Churyumov-Gerasimenko 1)	1989 VI, 1988i, 1982 VIII, 1982f, 67P/1975 P1, 1976 VII, 1975i, 1969 IV, 1969h	Comet	
